단지명,주소,전화번호,세대수,시도,시군구,동리,kaptCode,관리업체,시공사,준공년도
연수2차현대대림아파트,,,700.0,인천광역시,연수구,동춘동,A40613001,에이제이대원 주식회사,"현대산업개발(주), 대림산업(주)",1993
동춘 무지개마을아파트,,,1068.0,인천광역시,연수구,동춘동,A40670304,주식회사 푸른종합주택관리,"태화,동보,영남,동남",1995
청학 시대 아파트,,,916.0,인천광역시,연수구,청학동,A40683010,(주)쌍용개발,시대종합건설,1994
연수주공3단지,,,1170.0,인천광역시,연수구,연수동,A40676708, ,대한주택공사,1993
송도해모로아파트,,,661.0,인천광역시,연수구,송도동,A40684008,미래TMS(주),한진중공업,2006
송도더샵마스터뷰 3단지,,,478.0,인천광역시,연수구,송도동,A10027930,우리관리(주),포스코건설,2015
송도롯데캐슬,,,643.0,인천광역시,연수구,송도동,A40673917,(주)쌍용개발,롯데건설(주),2012
송도더샵하버뷰13단지,,,553.0,인천광역시,연수구,송도동,A40673912,에이비엠(주),포스코건설,2011
송도더샵그린애비뉴7단지,,,474.0,인천광역시,연수구,송도동,A40673915,우리관리(주),포스코건설(주),2012
대림3차아파트,,,408.0,인천광역시,연수구,동춘동,A40670106,주식회사 동우개발,대림산업(주),1993
연수세경,,,567.0,인천광역시,연수구,연수동,A40681502,미래티엠에스(주),세경건설,1997
연수유천,,,788.0,인천광역시,연수구,연수동,A40676006,씨에스케이(주),유천건설,1993
연수2차 한양 아파트,,,1440.0,인천광역시,연수구,동춘동,A40675406,서림주택관리(주),(주)한양,1994
더샵센트럴파크2단지,,,632.0,인천광역시,연수구,송도동,A40673910,(주)아주관리,포스코건설,2011
연수동남,,,420.0,인천광역시,연수구,연수동,A40670705,에이비엠(주),동남기업(주),1994
송도더샵그린워크1차,,,736.0,인천광역시,연수구,송도동,A40673923,우리관리(주),포스코,2014
송도풍림아이원4단지,,,504.0,인천광역시,연수구,송도동,A40673002,(주)쌍용개발,풍림,2005
연수솔밭마을,,,1200.0,인천광역시,연수구,연수동,A40676206, ,한보철강주식회사,1993
송도더샵하버뷰14단지,,,292.0,인천광역시,연수구,송도동,A40673911,우리관리(주),(주)포스코건설,2011
송도더샵그린애비뉴8단지,,,540.0,인천광역시,연수구,송도동,A40673914,우리관리,포스코건설(주),2012
옥련동현대5차아파트,,,621.0,인천광역시,연수구,옥련동,A40672112,주식회사 푸른종합주택관리,현대산업개발,1997
연수1차 현대 아파트,,,1040.0,인천광역시,연수구,동춘동,A40675503,(주)쌍용개발,"현대산업개발,현대건설",1993
연수 성호 아파트,,,488.0,인천광역시,연수구,청학동,A40679306,주식회사 대승케이비엠,성호주택,1993
용담마을아파트,,,500.0,인천광역시,연수구,청학동,A40683007,미래티엠에스주식회사,인천 직할시 종합건설본부,1994
옥련삼성,,,612.0,인천광역시,연수구,옥련동,A40671411, ,삼성물산(주),1996
송도웰카운티3단지,,,515.0,인천광역시,연수구,송도동,A40673903,(주)쌍용개발,현진,2010
동아금호연수타운,,,1056.0,인천광역시,연수구,동춘동,A40677501,신한영관리(주),"동아건설산업(주), (주)광주고속건설",1993
옥련원흥,,,359.0,인천광역시,연수구,옥련동,A40682504,(주)화신지엠에스,원흥종합건설,1994
선학 뉴서울,,,720.0,인천광역시,연수구,선학동,A40670509,씨에스케이(주),뉴서울주택,1992
송도풍림아이원3단지아파트,,,504.0,인천광역시,연수구,송도동,A40673603,에이비엠주식회사,풍림산업(주),2005
청학 현대 아파트,,,420.0,인천광역시,연수구,청학동,A40682805,주식회사 대승케이비엠,현대산업개발(주),2000
송도더프라우3단지,,,409.0,인천광역시,연수구,송도동,A40673918,(주)쌍용개발,코오롱글로벌(주),2012
연수1차대림,,,640.0,인천광역시,연수구,연수동,A40671105,주식회사 대승케이비엠,대림산업(주),1993
옥련1차현대,,,674.0,인천광역시,연수구,옥련동,A40678904,(주)쌍용개발,현대산업개발(주),1994
연수시영1차(분양),,,370.0,인천광역시,연수구,연수동,A40676101,(주)화신지엠에스,시종합건설본부,1992
선학대동,,,390.0,인천광역시,연수구,선학동,A40680605,(주)화신지엠에스,대동건설,1992
청학 삼용 아파트,,,300.0,인천광역시,연수구,청학동,A40683002,(주)쌍용개발,삼용종합건설사업(주),1994
송도자이하버뷰2단지,,,523.0,인천광역시,연수구,송도동,A40673907,에이비엠(주),GS건설,2011
옥련아주,,,384.0,인천광역시,연수구,옥련동,A40671705,주식회사 대승케이비엠,(주)아주종합건설,1997
연수주공2차,,,960.0,인천광역시,연수구,연수동,A40676607,에이비엠(주),대한주택공사,1992
연수대우1차,,,390.0,인천광역시,연수구,연수동,A40671201,주식회사 대승케이비엠,(주)대우,1992
롯데아파트,,,320.0,인천광역시,연수구,동춘동,A40680104,(주)화신지엠에스,롯데건설,1993
연수 아주아파트,,,348.0,인천광역시,연수구,동춘동,A40680402,에이비엠(주),(주)아주건설,1994
옥련쌍용,,,574.0,인천광역시,연수구,옥련동,A40671609,주식회사 대승케이비엠,(주)남광토건,1998
선학아주,,,390.0,인천광역시,연수구,선학동,A40680606,에이비엠(주),(주)아주건설,1992
송도더샵그린워크3차 D17-1BL,,,358.0,인천광역시,연수구,송도동,A10027884,우리관리(주),포스코건설,2015
연수경남,,,620.0,인천광역시,연수구,연수동,A40671003,에이비엠(주),경남기업,1993
선학정광,,,300.0,인천광역시,연수구,선학동,A40670603, ,(주)정광건설,1991
선학태산,,,300.0,인천광역시,연수구,선학동,A40670604, ,(주)태산건설,1991
연수태산,,,420.0,인천광역시,연수구,연수동,A40670706,에이비엠(주),태산도시산업(주),1993
동춘마을아파트,,,930.0,인천광역시,연수구,동춘동,A40675208,주식회사 푸른종합주택관리,한보철강공업주,1994
송도이안아파트,,,108.0,인천광역시,연수구,송도동,A10022395,(주)쌍용개발,(주)대우자동차판매건설(현 : 대우산업개발),2006
송도더샵마스터뷰2단지,,,691.0,인천광역시,연수구,송도동,A10027929,우리관리(주),포스코건설,2015
선학대진,,,300.0,인천광역시,연수구,선학동,A40609002,화신지엠에스,대진건설,1991
연수풍림1차,,,769.0,인천광역시,연수구,연수동,A40676806,에이비엠(주),풍림산업,1992
옥련태평아파트,,,273.0,인천광역시,연수구,옥련동,A40678905,에이비엠(주),(주)태평주택,1997
동춘 태평1차아파트,,,192.0,인천광역시,연수구,동춘동,A40680301, ,태평건설,1992
연수1차 하나아파트,,,724.0,인천광역시,연수구,청학동,A40683008,주식회사 대승케이비엠,주)한국공영,1995
우주아파트,,,230.0,인천광역시,연수구,연수동,A10021078,주식회사 대승케이비엠,우주건설(주),1992
희영무지개2차아파트,,,157.0,인천광역시,연수구,선학동,A40680801, ,(주)희영공영,1995
송도더샵하버뷰2,,,548.0,인천광역시,연수구,송도동,A40673913,(주)쌍용개발,(주)포스코건설,2012
옥련현대2차,,,1180.0,인천광역시,연수구,옥련동,A40678903,(주)무림하우징,현대산업개발,1995
옥련서해,,,600.0,인천광역시,연수구,옥련동,A40671510,씨에스케이(주),서해건설,1995
옥련2차우성,,,255.0,인천광역시,연수구,옥련동,A40671801,주식회사 대승케이비엠,(주)다원종합건설,2002
선학윤성,,,423.0,인천광역시,연수구,선학동,A40680807,미래TMS(주),윤성건설,1995
연수푸르지오1단지,,,117.0,인천광역시,연수구,연수동,A10022238,에이비엠(주),(주)대우건설,2011
풍림연수3차아파트,,,440.0,인천광역시,연수구,동춘동,A40680107,미래티엠에스,풍림산업(주),1993
영종자이아파트,,,1022.0,인천광역시,중구,운남동,A40081101,우리관리(주),GS건설(주),2009
영종힐스테이트,,,1628.0,인천광역시,중구,중산동,A40084106,(주)태룡에스디,현대건설,2012
영종우미린1단지,,,1680.0,인천광역시,중구,중산동,A40084104,서림주택관리(주),(주)우산건설,2012
영종금호베스트빌2단지,,,452.0,인천광역시,중구,운서동,A40034012,씨에스케이,(주)금호산업,2003
영종 금호베스트빌1차 아파트,,,360.0,인천광역시,중구,운서동,A40034010,주식회사 푸른종합주택관리,(주)금호산업,2002
영종신명스카이뷰주얼리,,,1002.0,인천광역시,중구,중산동,A40084108,우리관리(주),(주)신명종합건설,2013
신흥아이파크 아파트,,,1330.0,인천광역시,중구,신흥동3가,A40010302,에이제이대원 주식회사,현대산업개발,2002
영종한라비발디,,,1365.0,인천광역시,중구,중산동,A40084102,광인산업(주),한라,2012
영종주공스카이빌12단지,,,323.0,인천광역시,중구,운서동,A40034008,신한영주택관리(주),대우자판외,2001
영종 풍림1차2-1단지아파트,,,650.0,인천광역시,중구,운서동,A40072514,씨에스케이(주),풍림산업(주),2002
영종한양수자인아파트,,,1304.0,인천광역시,중구,중산동,A40084105,(주)화신GMS,(주)한양,2012
영종 금호어울림1차아파트,,,328.0,인천광역시,중구,운서동,A40034009,(주)쌍용개발,금호건설(주),2009
영종 창보밀레시티5단지아파트,,,366.0,인천광역시,중구,운서동,A40034011,미래tms,창보종합건설,2003
동원베네스트 영종타운하우스,,,148.0,인천광역시,중구,운서동,A10022770,(주)화신지엠에스,동원시스템건설,2008
영종 풍림6-1차아파트,,,240.0,인천광역시,중구,운서동,A40034005,주식회사 푸른종합주택관리,풍림산업,2003
하늘도시우미린2단지,,,1287.0,인천광역시,중구,중산동,A40084103,우리관리주식회사,우미건설,2012
영종 풍림6-2차아파트,,,295.0,인천광역시,중구,운서동,A40034006, ,풍림산업(주),2002
신흥 경남아너스빌 아파트,,,408.0,인천광역시,중구,신흥동1가,A40010103,주식회사 푸른종합주택관리,경남기업,2005
신흥 삼익 아파트,,,434.0,인천광역시,중구,신흥동2가,A40010201,(주)화신지엠에스,삼익건설,1979
비취맨션3단지 아파트,,,608.0,인천광역시,중구,항동7가,A40080102,광인산업(주),라이프개발(주),1990
신흥 대림 아파트,,,240.0,인천광역시,중구,신흥동1가,A40010101,한국주택시설관리(주),대림산업(주),2002
영종금호어울림2차,,,160.0,인천광역시,중구,운서동,A40072001,(주)쌍용개발,금호건설,2009
풍림아이원3-1-1단지,,,115.0,인천광역시,중구,운서동,A10023286, ,풍림건설(주),2002
비취맨션2단지 아파트,,,854.0,인천광역시,중구,항동7가,A40080104,(주)화신지엠에스,라이프주택건설,1981
영종주공 스카이빌7단지,,,295.0,인천광역시,중구,운서동,A40034007,씨에스케이(주),대한주택공사,2002
영종동보노빌리티,,,585.0,인천광역시,중구,중산동,A40084101,율산개발(주),(주)동보주택건설,2012
영종주공스카이빌10단지,,,740.0,인천광역시,중구,운서동,A40034015,(주)쌍용개발,(주)남해건설,2001
창보밀레시티 3단지,,,198.0,인천광역시,중구,운서동,A40034001,에이비엠(주),(주)창보종합건설,2003
"창보밀레씨티 1,2단지",,,222.0,인천광역시,중구,운서동,A10024905,(주)화신지엠에스,(주) 창보종합건설,2003
